"","day","month","year","return","price.close"
"18360",13,2,2001,-0.865212581242308,1318.800049
"18361",14,2,2001,-0.218380716787491,1315.920044
"18362",15,2,2001,0.812354903228458,1326.609985
"18363",16,2,2001,-1.89052971736829,1301.530029
"18364",20,2,2001,-1.73565630424651,1278.939941
"18365",21,2,2001,-1.85074531189422,1255.27002
"18366",22,2,2001,-0.195183025242637,1252.819946
"18367",23,2,2001,-0.555543597643202,1245.859985
"18368",26,2,2001,1.74899581512765,1267.650024
"18369",27,2,2001,-0.76599083470691,1257.939941
"18370",28,2,2001,-1.43091092136648,1239.939941
"18371",1,3,2001,0.104040442391071,1241.22998
"18372",2,3,2001,-0.567979029961888,1234.180054
"18373",5,3,2001,0.585812416637878,1241.410034
"18374",6,3,2001,0.998059840073755,1253.800049
"18375",7,3,2001,0.645235738063048,1261.890015
"18376",8,3,2001,0.225849714802608,1264.73999
"18377",9,3,2001,-2.47639406104334,1233.420044
"18378",12,3,2001,-4.31807560279927,1180.160034
"18379",13,3,2001,1.48284974035987,1197.660034
"18380",14,3,2001,-2.58421188996609,1166.709961
"18381",15,3,2001,0.587129469103752,1173.560059
"18382",16,3,2001,-1.96240744761065,1150.530029
"18383",19,3,2001,1.76266846486628,1170.810059
"18384",20,3,2001,-2.40774016103665,1142.619995
"18385",21,3,2001,-1.79237017465287,1122.140015
"18386",22,3,2001,-0.406371659422546,1117.579956
"18387",23,3,2001,1.99090900660355,1139.829956
"18388",26,3,2001,1.12823714908578,1152.689941
"18389",27,3,2001,2.55750501079456,1182.170044
"18390",28,3,2001,-2.44296538781184,1153.290039
"18391",29,3,2001,-0.463030791857895,1147.949951
"18392",30,3,2001,1.07844466470124,1160.329956
"18393",2,4,2001,-1.24619388866317,1145.869995
"18394",3,4,2001,-3.43931110614342,1106.459961
"18395",4,4,2001,-0.290110904428834,1103.25
"18396",5,4,2001,4.36799827781555,1151.439941
"18397",6,4,2001,-1.99835755046126,1128.430054
"18398",9,4,2001,0.811739457623492,1137.589966
"18399",10,4,2001,2.70660254751227,1168.380005
"18400",11,4,2001,-0.213114739155437,1165.890015
"18401",12,4,2001,1.51043278297568,1183.5
"18402",16,4,2001,-0.322766877904527,1179.680054
"18403",17,4,2001,1.02824532455814,1191.810059
"18404",18,4,2001,3.88904042636546,1238.160034
"18405",19,4,2001,1.25427299973729,1253.689941
"18406",20,4,2001,-0.854275100225919,1242.97998
"18407",23,4,2001,-1.49801246195454,1224.359985
"18408",24,4,2001,-1.21614673645187,1209.469971
"18409",25,4,2001,1.59408910202699,1228.75
"18410",26,4,2001,0.469584537131225,1234.52002
"18411",27,4,2001,1.5009905631178,1253.050049
"18412",30,4,2001,-0.286507949372414,1249.459961
"18413",1,5,2001,1.35898552414679,1266.439941
"18414",2,5,2001,0.0781808096811941,1267.430054
"18415",3,5,2001,-1.4872692927321,1248.579956
"18416",4,5,2001,1.44404280345503,1266.609985
"18417",7,5,2001,-0.244745820474492,1263.51001
"18418",8,5,2001,-0.182828705884167,1261.199951
"18419",9,5,2001,-0.448771980645286,1255.540039
"18420",10,5,2001,-0.0286717260157445,1255.180054
"18421",11,5,2001,-0.757661020002152,1245.670044
"18422",14,5,2001,0.260903761445836,1248.920044
"18423",15,5,2001,0.0416277248890184,1249.439941
"18424",16,5,2001,2.8452787391723,1284.98999
"18425",17,5,2001,0.272375662630648,1288.48999
"18426",18,5,2001,0.269305235347617,1291.959961
"18427",21,5,2001,1.61537475076598,1312.829956
"18428",22,5,2001,-0.262787346086431,1309.380005
"18429",23,5,2001,-1.55263986943195,1289.050049
"18430",24,5,2001,0.319614820479326,1293.170044
"18431",25,5,2001,-1.18159472305252,1277.890015
"18432",29,5,2001,-0.779406747301333,1267.930054
"18433",30,5,2001,-1.5655515016288,1248.079956
"18434",31,5,2001,0.620151774955677,1255.819946
"18435",1,6,2001,0.3862096644864,1260.670044
"18436",4,6,2001,0.51083477636755,1267.109985
"18437",5,6,2001,1.29901596505847,1283.569946
"18438",6,6,2001,-1.05486397856187,1270.030029
"18439",7,6,2001,0.545651035153595,1276.959961
"18440",8,6,2001,-0.939731891875661,1264.959961
"18441",11,6,2001,-0.835595301502201,1254.390015
"18442",12,6,2001,0.116388123513565,1255.849976
"18443",13,6,2001,-1.1346896741112,1241.599976
"18444",14,6,2001,-1.75015958602112,1219.869995
"18445",15,6,2001,-0.451688296505724,1214.359985
"18446",18,6,2001,-0.488317391321168,1208.430054
"18447",19,6,2001,0.343412677156084,1212.579956
"18448",20,6,2001,0.870875272822002,1223.140015
